"product_sk","store_sk","vendor_sk","inventory_id","sales_date","sales_quantity","sales_price","sales_dollars","excise_tax","estimated_cogs"
"669","35","39","35_HALIVAARA_1228","2016-03-16","1.00","104.99","104.99","0.79","69.7600"
"669","35","39","35_HALIVAARA_1228","2016-03-01","1.00","104.99","104.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-03-28","1.00","104.99","104.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-03-24","1.00","104.99","104.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-03-19","1.00","104.99","104.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-03-15","1.00","104.99","104.99","0.79","69.7600"
"669","33","39","33_HORNSEY_1228","2016-03-12","1.00","104.99","104.99","0.79","69.7600"
"669","32","39","32_MOUNTMEND_1228","2016-03-29","1.00","104.99","104.99","0.79","69.7600"
"669","32","39","32_MOUNTMEND_1228","2016-03-25","1.00","104.99","104.99","0.79","69.7600"
"669","3","39","3_HORNSEY_1228","2016-03-17","1.00","104.99","104.99","0.79","69.7600"
"669","3","39","3_HORNSEY_1228","2016-03-12","1.00","104.99","104.99","0.79","69.7600"
"669","25","39","25_CAERSHIRE_1228","2016-03-03","1.00","104.99","104.99","0.79","69.7600"
"669","20","39","20_BREDWARDINE_1228","2016-03-22","1.00","104.99","104.99","0.79","69.7600"
"669","18","39","18_FURNESS_1228","2016-03-20","1.00","104.99","104.99","0.79","69.7600"
"669","15","39","15_WANBORNE_1228","2016-03-11","1.00","104.99","104.99","0.79","69.7600"
"669","12","39","12_LEESIDE_1228","2016-03-04","1.00","104.99","104.99","0.79","69.7600"
"669","1","39","1_HARDERSFIELD_1228","2016-03-13","2.00","104.99","209.98","1.57","139.5200"
"669","8","39","8_ALNERWICK_1228","2016-02-23","2.00","104.99","209.98","1.57","139.5200"
"669","8","39","8_ALNERWICK_1228","2016-02-21","1.00","104.99","104.99","0.79","69.7600"
"669","8","39","8_ALNERWICK_1228","2016-02-11","1.00","104.99","104.99","0.79","69.7600"
"669","8","39","8_ALNERWICK_1228","2016-02-04","2.00","104.99","209.98","1.57","139.5200"
"669","79","39","79_BALLYMENA_1228","2016-02-26","1.00","104.99","104.99","0.79","69.7600"
"669","77","39","77_TAMWORTH_1228","2016-02-12","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-02-17","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-02-04","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-02-02","1.00","104.99","104.99","0.79","69.7600"
"669","74","39","74_PAENTMARWY_1228","2016-02-20","1.00","104.99","104.99","0.79","69.7600"
"669","73","39","73_DONCASTER_1228","2016-02-28","1.00","104.99","104.99","0.79","69.7600"
"669","73","39","73_DONCASTER_1228","2016-02-19","1.00","104.99","104.99","0.79","69.7600"
"669","73","39","73_DONCASTER_1228","2016-02-15","1.00","104.99","104.99","0.79","69.7600"
"669","72","39","72_HARDERSFIELD_1228","2016-02-13","1.00","104.99","104.99","0.79","69.7600"
"669","69","39","69_MOUNTMEND_1228","2016-02-12","1.00","104.99","104.99","0.79","69.7600"
"669","69","39","69_MOUNTMEND_1228","2016-02-05","1.00","104.99","104.99","0.79","69.7600"
"669","67","39","67_EANVERNESS_1228","2016-02-15","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-02-26","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-02-19","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-02-14","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-02-12","2.00","104.99","209.98","1.57","139.5200"
"669","66","39","66_EANVERNESS_1228","2016-02-04","1.00","104.99","104.99","0.79","69.7600"
"669","60","39","60_IRRAGIN_1228","2016-02-19","1.00","104.99","104.99","0.79","69.7600"
"669","56","39","56_BEGGAR'S HOLE_1228","2016-02-19","1.00","104.99","104.99","0.79","69.7600"
"669","55","39","55_DRY GULCH_1228","2016-02-24","1.00","104.99","104.99","0.79","69.7600"
"669","54","39","54_GUTHRAM_1228","2016-02-21","1.00","104.99","104.99","0.79","69.7600"
"669","52","39","52_GRAYCOTT_1228","2016-02-02","2.00","104.99","209.98","1.57","139.5200"
"669","51","39","51_ABERDEEN_1228","2016-02-26","1.00","104.99","104.99","0.79","69.7600"
"669","50","39","50_MOUNTMEND_1228","2016-02-11","1.00","104.99","104.99","0.79","69.7600"
"669","49","39","49_GARIGILL_1228","2016-02-27","1.00","104.99","104.99","0.79","69.7600"
"669","45","39","45_VERITAS_1228","2016-02-20","1.00","104.99","104.99","0.79","69.7600"
"669","39","39","39_EASTHALLOW_1228","2016-02-06","1.00","104.99","104.99","0.79","69.7600"
"669","38","39","38_GOULCREST_1228","2016-02-26","2.00","104.99","209.98","1.57","139.5200"
