"date_key","year","quarter","month","month_name","week_of_year","day_of_week","day_name","is_weekend"
"2016-01-30",2016,1,1,"January  ",4,6,"Saturday ",True
"2016-01-31",2016,1,1,"January  ",4,0,"Sunday   ",True
"2016-02-01",2016,1,2,"February ",5,1,"Monday   ",False
"2016-02-02",2016,1,2,"February ",5,2,"Tuesday  ",False
"2016-02-03",2016,1,2,"February ",5,3,"Wednesday",False
"2016-02-04",2016,1,2,"February ",5,4,"Thursday ",False
"2016-02-05",2016,1,2,"February ",5,5,"Friday   ",False
"2016-02-06",2016,1,2,"February ",5,6,"Saturday ",True
"2016-02-07",2016,1,2,"February ",5,0,"Sunday   ",True
"2016-02-08",2016,1,2,"February ",6,1,"Monday   ",False
"2016-02-09",2016,1,2,"February ",6,2,"Tuesday  ",False
"2016-02-10",2016,1,2,"February ",6,3,"Wednesday",False
"2016-02-11",2016,1,2,"February ",6,4,"Thursday ",False
"2016-02-12",2016,1,2,"February ",6,5,"Friday   ",False
"2016-02-13",2016,1,2,"February ",6,6,"Saturday ",True
"2016-02-14",2016,1,2,"February ",6,0,"Sunday   ",True
"2016-02-15",2016,1,2,"February ",7,1,"Monday   ",False
"2016-02-16",2016,1,2,"February ",7,2,"Tuesday  ",False
"2016-02-17",2016,1,2,"February ",7,3,"Wednesday",False
"2016-02-18",2016,1,2,"February ",7,4,"Thursday ",False
"2016-02-19",2016,1,2,"February ",7,5,"Friday   ",False
"2016-02-20",2016,1,2,"February ",7,6,"Saturday ",True
"2016-02-21",2016,1,2,"February ",7,0,"Sunday   ",True
"2016-02-22",2016,1,2,"February ",8,1,"Monday   ",False
"2016-02-23",2016,1,2,"February ",8,2,"Tuesday  ",False
"2016-02-24",2016,1,2,"February ",8,3,"Wednesday",False
"2016-02-25",2016,1,2,"February ",8,4,"Thursday ",False
"2016-02-26",2016,1,2,"February ",8,5,"Friday   ",False
"2016-02-27",2016,1,2,"February ",8,6,"Saturday ",True
"2016-02-28",2016,1,2,"February ",8,0,"Sunday   ",True
"2016-02-29",2016,1,2,"February ",9,1,"Monday   ",False
"2016-03-01",2016,1,3,"March    ",9,2,"Tuesday  ",False
"2016-03-02",2016,1,3,"March    ",9,3,"Wednesday",False
"2016-03-03",2016,1,3,"March    ",9,4,"Thursday ",False
"2016-03-04",2016,1,3,"March    ",9,5,"Friday   ",False
"2016-03-05",2016,1,3,"March    ",9,6,"Saturday ",True
"2016-03-06",2016,1,3,"March    ",9,0,"Sunday   ",True
"2016-03-07",2016,1,3,"March    ",10,1,"Monday   ",False
"2016-03-08",2016,1,3,"March    ",10,2,"Tuesday  ",False
"2016-03-09",2016,1,3,"March    ",10,3,"Wednesday",False
"2016-03-10",2016,1,3,"March    ",10,4,"Thursday ",False
"2016-03-11",2016,1,3,"March    ",10,5,"Friday   ",False
"2016-03-12",2016,1,3,"March    ",10,6,"Saturday ",True
"2016-03-13",2016,1,3,"March    ",10,0,"Sunday   ",True
"2016-03-14",2016,1,3,"March    ",11,1,"Monday   ",False
"2016-03-15",2016,1,3,"March    ",11,2,"Tuesday  ",False
"2016-03-16",2016,1,3,"March    ",11,3,"Wednesday",False
"2016-03-17",2016,1,3,"March    ",11,4,"Thursday ",False
"2016-03-18",2016,1,3,"March    ",11,5,"Friday   ",False
"2016-03-19",2016,1,3,"March    ",11,6,"Saturday ",True
"2016-03-20",2016,1,3,"March    ",11,0,"Sunday   ",True
"2016-03-21",2016,1,3,"March    ",12,1,"Monday   ",False
"2016-03-22",2016,1,3,"March    ",12,2,"Tuesday  ",False
"2016-03-23",2016,1,3,"March    ",12,3,"Wednesday",False
"2016-03-24",2016,1,3,"March    ",12,4,"Thursday ",False
"2016-03-25",2016,1,3,"March    ",12,5,"Friday   ",False
"2016-03-26",2016,1,3,"March    ",12,6,"Saturday ",True
"2016-03-27",2016,1,3,"March    ",12,0,"Sunday   ",True
"2016-03-28",2016,1,3,"March    ",13,1,"Monday   ",False
"2016-03-29",2016,1,3,"March    ",13,2,"Tuesday  ",False
"2016-03-30",2016,1,3,"March    ",13,3,"Wednesday",False
"2016-03-31",2016,1,3,"March    ",13,4,"Thursday ",False
"2016-04-01",2016,2,4,"April    ",13,5,"Friday   ",False
"2016-04-02",2016,2,4,"April    ",13,6,"Saturday ",True
"2016-04-03",2016,2,4,"April    ",13,0,"Sunday   ",True
"2016-04-04",2016,2,4,"April    ",14,1,"Monday   ",False
"2016-04-05",2016,2,4,"April    ",14,2,"Tuesday  ",False
"2016-04-06",2016,2,4,"April    ",14,3,"Wednesday",False
"2016-04-07",2016,2,4,"April    ",14,4,"Thursday ",False
"2016-04-08",2016,2,4,"April    ",14,5,"Friday   ",False
"2016-04-09",2016,2,4,"April    ",14,6,"Saturday ",True
