InventoryId,Store,City,Brand,Description,Size,onHand,Price,startDate
1_HARDERSFIELD_281,1,HARDERSFIELD,281,Kamora Coffee Gift Pack,750mL,1,9.99,2016-01-01
1_HARDERSFIELD_283,1,HARDERSFIELD,283,Milagro Tequila Reposado SBR,750mL,4,57.99,2016-01-01
1_HARDERSFIELD_284,1,HARDERSFIELD,284,Milagro Tequila Anejo SBR,750mL,2,77.99,2016-01-01
1_HARDERSFIELD_294,1,HARDERSFIELD,294,Old Mexico Gold Tequila,Liter,28,8.49,2016-01-01
1_HARDERSFIELD_305,1,HARDERSFIELD,305,Crown Royal Canadian Whisky,Liter,0,27.99,2016-01-01
1_HARDERSFIELD_311,1,HARDERSFIELD,311,The Glenlivet 12 Yr Gift Pk,750mL,8,41.99,2016-01-01
1_HARDERSFIELD_323,1,HARDERSFIELD,323,Tequila Rose Strawberry Gift,750mL,6,13.99,2016-01-01
1_HARDERSFIELD_344,1,HARDERSFIELD,344,Punt e Mes Sweet Vermouth,750mL,3,19.99,2016-01-01
1_HARDERSFIELD_356,1,HARDERSFIELD,356,Carolans Irish Cr Gift Set,750mL,0,11.49,2016-01-01
1_HARDERSFIELD_361,1,HARDERSFIELD,361,Effen Cucumber Vodka,750mL,10,19.99,2016-01-01
1_HARDERSFIELD_366,1,HARDERSFIELD,366,Crown Royal w/2 Glasses,750mL,2,21.99,2016-01-01
1_HARDERSFIELD_376,1,HARDERSFIELD,376,Aperol Liqueur,750mL,7,28.99,2016-01-01
1_HARDERSFIELD_381,1,HARDERSFIELD,381,Baileys Irish Cream w/4 Glss,750mL,7,18.99,2016-01-01
1_HARDERSFIELD_384,1,HARDERSFIELD,384,Ardbeg Corryvreckan Scotch,750mL,8,69.99,2016-01-01
1_HARDERSFIELD_388,1,HARDERSFIELD,388,Smirnoff 80 Proof,Liter,25,14.49,2016-01-01
1_HARDERSFIELD_403,1,HARDERSFIELD,403,Kahlua Midnight,Liter,6,23.99,2016-01-01
1_HARDERSFIELD_408,1,HARDERSFIELD,408,Wild Turkey American Honey,750mL,57,17.99,2016-01-01
1_HARDERSFIELD_415,1,HARDERSFIELD,415,Jose Cuervo Especial,Liter,27,20.99,2016-01-01
1_HARDERSFIELD_419,1,HARDERSFIELD,419,Absolut Citron,Liter,2,19.99,2016-01-01
1_HARDERSFIELD_425,1,HARDERSFIELD,425,Hennessy Paradis,750mL,1,799.99,2016-01-01
1_HARDERSFIELD_426,1,HARDERSFIELD,426,Crystal Head Vodka,50mL,48,7.99,2016-01-01
1_HARDERSFIELD_435,1,HARDERSFIELD,435,Il Tramonto Limoncello,750mL,8,15.99,2016-01-01
1_HARDERSFIELD_438,1,HARDERSFIELD,438,Licor 43 Vanilla Liqueur,750mL,11,18.99,2016-01-01
1_HARDERSFIELD_443,1,HARDERSFIELD,443,St Germain Liqueur,750mL,14,33.99,2016-01-01
1_HARDERSFIELD_450,1,HARDERSFIELD,450,Vincent Van Gogh Double Esp,750mL,7,24.99,2016-01-01
1_HARDERSFIELD_463,1,HARDERSFIELD,463,Kirk & Sweeney 12Yr Old Rum,750mL,3,33.99,2016-01-01
1_HARDERSFIELD_482,1,HARDERSFIELD,482,Absolut 80 Proof,Liter,0,19.99,2016-01-01
1_HARDERSFIELD_485,1,HARDERSFIELD,485,Seagrams 7 Crown,Liter,17,12.99,2016-01-01
1_HARDERSFIELD_497,1,HARDERSFIELD,497,Capt Morgan Spiced Rum,Liter,16,19.99,2016-01-01
1_HARDERSFIELD_508,1,HARDERSFIELD,508,Bacardi Superior Rum,Liter,36,15.49,2016-01-01
1_HARDERSFIELD_513,1,HARDERSFIELD,513,Ocean Vodka,750mL,0,28.99,2016-01-01
1_HARDERSFIELD_515,1,HARDERSFIELD,515,Hirsch Selection Bourbon,750mL,2,34.99,2016-01-01
1_HARDERSFIELD_523,1,HARDERSFIELD,523,Castello Del Poggio Moscato,750mL,4,10.49,2016-01-01
1_HARDERSFIELD_525,1,HARDERSFIELD,525,El Tesoro Anejo Gold Tequil,750mL,6,39.99,2016-01-01
1_HARDERSFIELD_536,1,HARDERSFIELD,536,Svedka Cherry Vodka,Liter,15,12.99,2016-01-01
1_HARDERSFIELD_538,1,HARDERSFIELD,538,Amaretto DiSaronno,375mL,0,10.99,2016-01-01
1_HARDERSFIELD_539,1,HARDERSFIELD,539,Bowman's Vodka,Liter,0,5.79,2016-01-01
1_HARDERSFIELD_543,1,HARDERSFIELD,543,Berkshire Mtn Ethereal Gin,750mL,5,29.99,2016-01-01
1_HARDERSFIELD_555,1,HARDERSFIELD,555,Art In The Age Sage,750mL,4,32.99,2016-01-01
1_HARDERSFIELD_567,1,HARDERSFIELD,567,Ketel One Vodka,Liter,15,28.99,2016-01-01
1_HARDERSFIELD_597,1,HARDERSFIELD,597,Baileys Irish Cream,Liter,1,27.99,2016-01-01
1_HARDERSFIELD_649,1,HARDERSFIELD,649,Sauza Tres Generaciones Pla,750mL,5,39.99,2016-01-01
1_HARDERSFIELD_652,1,HARDERSFIELD,652,Frangelico Gift Pack-Candle,750mL,1,21.99,2016-01-01
1_HARDERSFIELD_653,1,HARDERSFIELD,653,Dom de Canton Ginger Liqueur,750mL,5,37.99,2016-01-01
1_HARDERSFIELD_659,1,HARDERSFIELD,659,Rhum Barbancourt Estate RSV,750mL,6,33.99,2016-01-01
1_HARDERSFIELD_661,1,HARDERSFIELD,661,Red Stag by Jim Beam,750mL,33,13.99,2016-01-01
1_HARDERSFIELD_664,1,HARDERSFIELD,664,Ardbeg Uigeadail Scotch,750mL,8,73.99,2016-01-01
1_HARDERSFIELD_676,1,HARDERSFIELD,676,Pinnacle Whipped Vodka,750mL,0,10.99,2016-01-01
1_HARDERSFIELD_680,1,HARDERSFIELD,680,Midnight Moon Strawberry,750mL,36,19.99,2016-01-01
1_HARDERSFIELD_686,1,HARDERSFIELD,686,Midnight Moon Cherry,750mL,14,19.99,2016-01-01
1_HARDERSFIELD_693,1,HARDERSFIELD,693,Svedka Vanilla Vodka,Liter,7,12.99,2016-01-01
1_HARDERSFIELD_742,1,HARDERSFIELD,742,DeKuyper Spearmint Schnapps,Liter,10,12.99,2016-01-01
1_HARDERSFIELD_743,1,HARDERSFIELD,743,Angels Envy Whiskey,750mL,2,49.99,2016-01-01
1_HARDERSFIELD_753,1,HARDERSFIELD,753,LaBelle Winery Blueberry,750mL,3,19.99,2016-01-01
1_HARDERSFIELD_757,1,HARDERSFIELD,757,Jim Beam Rye,750mL,17,17.99,2016-01-01
1_HARDERSFIELD_759,1,HARDERSFIELD,759,Bunnahabhain 12 Yr Single,750mL,6,51.99,2016-01-01
1_HARDERSFIELD_779,1,HARDERSFIELD,779,Svedka Raspberry Vodka,Liter,6,12.99,2016-01-01
1_HARDERSFIELD_780,1,HARDERSFIELD,780,Svedka Clementine Vodka,Liter,14,12.99,2016-01-01
1_HARDERSFIELD_782,1,HARDERSFIELD,782,Remy Martin 1738 Accord Ryl,750mL,3,44.99,2016-01-01
1_HARDERSFIELD_802,1,HARDERSFIELD,802,Bacardi Torched Cherry Rum,750mL,6,9.99,2016-01-01
1_HARDERSFIELD_807,1,HARDERSFIELD,807,Jim Beam,Liter,10,17.99,2016-01-01
1_HARDERSFIELD_809,1,HARDERSFIELD,809,Southern Comfort,Liter,5,19.99,2016-01-01
1_HARDERSFIELD_810,1,HARDERSFIELD,810,Bacardi Black Razz,750mL,12,9.99,2016-01-01
1_HARDERSFIELD_811,1,HARDERSFIELD,811,Jack Daniels No 7 Black,Liter,0,27.99,2016-01-01
1_HARDERSFIELD_812,1,HARDERSFIELD,812,Jagermeister Liqueur,Liter,27,22.99,2016-01-01
1_HARDERSFIELD_821,1,HARDERSFIELD,821,Grand Marnier,Liter,9,38.99,2016-01-01
1_HARDERSFIELD_822,1,HARDERSFIELD,822,Tanqueray,Liter,0,26.99,2016-01-01
1_HARDERSFIELD_824,1,HARDERSFIELD,824,Dewars White Label Scotch,Liter,0,26.99,2016-01-01
1_HARDERSFIELD_828,1,HARDERSFIELD,828,Bols Sloe Gin,Liter,10,9.99,2016-01-01
1_HARDERSFIELD_831,1,HARDERSFIELD,831,Bols Green Creme De Menthe,Liter,12,9.99,2016-01-01
1_HARDERSFIELD_836,1,HARDERSFIELD,836,Bols Creme de Cassis,Liter,12,9.99,2016-01-01
1_HARDERSFIELD_838,1,HARDERSFIELD,838,Bols Cherry Flavored Brandy,Liter,2,10.99,2016-01-01
1_HARDERSFIELD_854,1,HARDERSFIELD,854,Seagrams VO Canadian Whiskey,Liter,15,15.99,2016-01-01
1_HARDERSFIELD_856,1,HARDERSFIELD,856,Chinaco Blanco Tequila,750mL,21,29.99,2016-01-01
1_HARDERSFIELD_857,1,HARDERSFIELD,857,Kahlua,Liter,6,22.99,2016-01-01
1_HARDERSFIELD_858,1,HARDERSFIELD,858,Canadian Club,Liter,5,11.99,2016-01-01
1_HARDERSFIELD_859,1,HARDERSFIELD,859,Beefeater Gin,Liter,6,22.99,2016-01-01
1_HARDERSFIELD_870,1,HARDERSFIELD,870,Carpano Antica Formula,Liter,2,26.99,2016-01-01
