"sales_month","brand","description","monthly_qty","monthly_revenue"
"2016-05-01 00:00:00+00",3858,"Grey Goose Vodka","4230","115484.70"
"2016-06-01 00:00:00+00",1233,"Jack Daniels No 7 Black","13509","472679.91"
"2016-06-01 00:00:00+00",8068,"Absolut 80 Proof","19518","458477.82"
"2016-06-01 00:00:00+00",3405,"Tito's Handmade Vodka","14433","432845.67"
"2016-06-01 00:00:00+00",3858,"Grey Goose Vodka","17079","392646.21"
"2016-06-01 00:00:00+00",3545,"Ketel One Vodka","12920","387470.80"
"2016-06-01 00:00:00+00",3102,"Smirnoff Traveler","17195","292143.05"
"2016-06-01 00:00:00+00",3489,"Tanqueray","8967","259953.33"
"2016-06-01 00:00:00+00",1376,"Jim Beam","9908","217876.92"
"2016-06-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","7083","162838.17"
"2016-06-01 00:00:00+00",2589,"Jameson Irish Whiskey","3530","151754.70"
"2016-07-01 00:00:00+00",3858,"Grey Goose Vodka","35129","807615.71"
"2016-07-01 00:00:00+00",1233,"Jack Daniels No 7 Black","20932","732410.68"
"2016-07-01 00:00:00+00",8068,"Absolut 80 Proof","30304","711840.96"
"2016-07-01 00:00:00+00",3405,"Tito's Handmade Vodka","21415","642235.85"
"2016-07-01 00:00:00+00",3545,"Ketel One Vodka","19106","572988.94"
"2016-07-01 00:00:00+00",3102,"Smirnoff Traveler","27307","463945.93"
"2016-07-01 00:00:00+00",3489,"Tanqueray","12529","363215.71"
"2016-07-01 00:00:00+00",2589,"Jameson Irish Whiskey","7653","308098.47"
"2016-07-01 00:00:00+00",1376,"Jim Beam","12060","265199.40"
"2016-07-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","4822","124689.78"
"2016-08-01 00:00:00+00",3405,"Tito's Handmade Vodka","17742","532082.58"
"2016-08-01 00:00:00+00",8068,"Absolut 80 Proof","17895","420353.55"
"2016-08-01 00:00:00+00",1233,"Jack Daniels No 7 Black","11412","399305.88"
"2016-08-01 00:00:00+00",3545,"Ketel One Vodka","9629","308031.71"
"2016-08-01 00:00:00+00",3102,"Smirnoff Traveler","17096","307557.04"
"2016-08-01 00:00:00+00",3489,"Tanqueray","8856","256735.44"
"2016-08-01 00:00:00+00",3858,"Grey Goose Vodka","10074","241675.26"
"2016-08-01 00:00:00+00",1376,"Jim Beam","8864","203783.36"
"2016-08-01 00:00:00+00",2589,"Jameson Irish Whiskey","4324","172916.76"
"2016-08-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","4693","125016.07"
"2016-09-01 00:00:00+00",3405,"Tito's Handmade Vodka","17078","512169.22"
"2016-09-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","18725","430487.75"
"2016-09-01 00:00:00+00",1233,"Jack Daniels No 7 Black","10291","395547.09"
"2016-09-01 00:00:00+00",8068,"Absolut 80 Proof","14364","362742.86"
"2016-09-01 00:00:00+00",3545,"Ketel One Vodka","8502","289555.98"
"2016-09-01 00:00:00+00",3489,"Tanqueray","9006","253658.94"
"2016-09-01 00:00:00+00",1376,"Jim Beam","8466","207903.34"
"2016-09-01 00:00:00+00",2589,"Jameson Irish Whiskey","4687","187433.13"
"2016-09-01 00:00:00+00",3858,"Grey Goose Vodka","5820","152713.80"
"2016-09-01 00:00:00+00",3102,"Smirnoff Traveler","6732","121108.68"
"2016-10-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","19774","453526.26"
"2016-10-01 00:00:00+00",1233,"Jack Daniels No 7 Black","9574","363644.26"
"2016-10-01 00:00:00+00",3405,"Tito's Handmade Vodka","10959","356039.41"
"2016-10-01 00:00:00+00",8068,"Absolut 80 Proof","13880","347363.20"
"2016-10-01 00:00:00+00",3545,"Ketel One Vodka","10525","337389.75"
"2016-10-01 00:00:00+00",1376,"Jim Beam","10513","242621.87"
"2016-10-01 00:00:00+00",3858,"Grey Goose Vodka","10035","236842.65"
"2016-10-01 00:00:00+00",2589,"Jameson Irish Whiskey","5431","215719.69"
"2016-10-01 00:00:00+00",3489,"Tanqueray","6549","194306.51"
"2016-10-01 00:00:00+00",3102,"Smirnoff Traveler","2979","56111.21"
"2016-11-01 00:00:00+00",1233,"Jack Daniels No 7 Black","18988","664390.12"
"2016-11-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","24580","515934.20"
"2016-11-01 00:00:00+00",3545,"Ketel One Vodka","16322","489496.78"
"2016-11-01 00:00:00+00",2589,"Jameson Irish Whiskey","11435","434415.65"
"2016-11-01 00:00:00+00",3405,"Tito's Handmade Vodka","14589","422935.11"
"2016-11-01 00:00:00+00",8068,"Absolut 80 Proof","17179","403534.71"
"2016-11-01 00:00:00+00",3858,"Grey Goose Vodka","16591","389722.59"
"2016-11-01 00:00:00+00",3102,"Smirnoff Traveler","17995","305735.05"
"2016-11-01 00:00:00+00",1376,"Jim Beam","12531","263025.69"
"2016-11-01 00:00:00+00",3489,"Tanqueray","7669","214655.31"
"2016-12-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","29478","618743.22"
"2016-12-01 00:00:00+00",3405,"Tito's Handmade Vodka","17140","496888.60"
"2016-12-01 00:00:00+00",2589,"Jameson Irish Whiskey","12565","477344.35"
"2016-12-01 00:00:00+00",1233,"Jack Daniels No 7 Black","12615","441398.85"
"2016-12-01 00:00:00+00",3545,"Ketel One Vodka","13501","404894.99"
"2016-12-01 00:00:00+00",8068,"Absolut 80 Proof","15721","369286.29"
"2016-12-01 00:00:00+00",3858,"Grey Goose Vodka","12537","300147.13"
"2016-12-01 00:00:00+00",1376,"Jim Beam","12274","257631.26"
"2016-12-01 00:00:00+00",3102,"Smirnoff Traveler","15113","256769.87"
"2016-12-01 00:00:00+00",3489,"Tanqueray","7467","209001.33"
