"store","brand","total_revenue","total_qty","rank_in_store"
14,4243,"58557.05","2695","3"
14,1233,"58529.79","1621","4"
14,1376,"53538.55","2345","5"
14,3405,"49470.31","1645","6"
14,7878,"45358.02","2998","7"
14,3826,"41449.85","2015","8"
14,3102,"39869.20","2280","9"
14,3512,"39297.07","2393","10"
15,1233,"142390.29","3971","1"
15,3858,"123711.11","5239","2"
15,8068,"118704.48","4902","3"
15,126,"90954.17","3083","4"
15,3545,"89711.00","2900","5"
15,42188,"80727.47","1553","6"
15,4261,"80437.85","3615","7"
15,2589,"77655.56","1944","8"
15,3405,"71670.45","2383","9"
15,3489,"66740.14","2286","10"
16,4261,"42843.89","1911","1"
16,2127,"34653.77","3323","2"
16,2114,"26511.82","2018","3"
16,2120,"26348.87","1613","4"
16,1233,"24458.21","679","5"
16,8680,"22757.20","580","6"
16,1376,"21637.54","946","7"
16,8068,"21049.34","866","8"
16,3489,"18700.60","640","9"
16,3405,"15451.41","515","10"
17,4261,"39321.38","1762","1"
17,1233,"31549.29","871","2"
17,8068,"29600.85","1215","3"
17,5364,"19689.62","638","4"
17,3405,"19078.78","634","5"
17,3893,"18421.56","1844","6"
17,3102,"16493.59","941","7"
17,1376,"16181.88","712","8"
17,3802,"15971.59","841","9"
17,4243,"15412.80","720","10"
18,4261,"23836.37","1063","1"
18,1233,"19639.56","544","2"
18,8068,"17710.72","728","3"
18,2127,"17357.86","1664","4"
18,8680,"12163.92","308","5"
18,3893,"11408.58","1142","6"
18,5364,"10878.47","353","7"
18,2114,"10047.38","762","8"
18,2120,"9767.05","595","9"
18,3489,"9734.66","334","10"
19,3405,"50411.02","1678","1"
19,4261,"35526.05","1595","2"
19,8068,"34778.60","1440","3"
19,1233,"30798.41","859","4"
19,3545,"25306.87","813","5"
19,6570,"20187.11","1885","6"
19,3489,"19730.24","676","7"
19,1376,"19729.35","865","8"
19,3102,"17957.74","1026","9"
19,4260,"17933.37","863","10"
20,4261,"61080.37","2763","1"
20,3405,"52468.66","1746","2"
20,1233,"49660.18","1382","3"
20,3858,"45132.28","1872","4"
20,8068,"35538.91","1459","5"
20,3545,"29296.58","942","6"
20,3102,"28336.77","1623","7"
20,3650,"26936.43","557","8"
20,3512,"25979.14","1586","9"
20,6570,"22245.73","2063","10"
21,3858,"48901.27","2073","1"
21,1233,"39364.00","1100","2"
21,126,"38600.86","1314","3"
21,8068,"38509.06","1594","4"
21,42188,"32407.34","616","5"
21,2589,"31808.00","800","6"
21,3545,"30466.15","985","7"
21,2663,"28940.90","910","8"
21,3489,"28505.22","978","9"
21,6570,"28139.88","2624","10"
22,4261,"52836.20","2380","1"
22,1233,"50309.02","1398","2"
22,8068,"49232.75","2025","3"
22,3405,"43179.08","1440","4"
22,3545,"39918.20","1280","5"
22,1376,"33096.34","1466","6"
22,3102,"25049.70","1430","7"
22,3489,"24255.70","830","8"
22,6570,"23785.54","2210","9"
22,8082,"22938.77","723","10"
23,3405,"77640.47","2585","1"
23,4261,"76213.83","3417","2"
23,8068,"74214.46","3054","3"
23,1233,"67205.39","1861","4"
23,7878,"55065.18","3682","5"
23,1376,"51174.56","2244","6"
23,3545,"48594.38","1562","7"
23,3489,"45104.52","1548","8"
23,6570,"43511.84","3964","9"
23,3650,"40637.58","842","10"
24,1233,"21138.12","588","1"
24,8068,"20986.37","863","2"
24,4261,"20837.61","939","3"
24,1376,"20453.02","898","4"
24,3405,"17475.56","580","5"
24,3893,"16123.86","1614","6"
24,3858,"14184.16","584","7"
24,3545,"13649.65","435","8"
24,6570,"12841.95","1169","9"
24,2585,"12501.70","530","10"
25,3405,"64032.96","2128","1"
25,4261,"45122.79","2021","2"
25,3545,"44667.74","1426","3"
25,8068,"43469.66","1784","4"
25,1233,"36346.99","1001","5"
25,3858,"35112.65","1435","6"
25,6570,"30100.94","2766","7"
25,3489,"29086.08","992","8"
25,1376,"28777.44","1256","9"
25,2589,"24386.96","604","10"
26,4261,"8922.98","402","1"
26,1233,"8626.60","240","2"
26,3522,"6017.39","461","3"
26,1376,"5592.53","247","4"
26,3405,"5570.84","184","5"
26,8068,"5366.79","221","6"
26,2127,"5328.39","511","7"
26,8680,"5327.65","135","8"
26,2120,"5231.83","317","9"
26,2114,"5067.16","384","10"
27,3858,"143822.34","6166","1"
27,1233,"100029.85","2815","2"
27,126,"98067.30","3370","3"
27,42188,"90291.25","1775","4"
27,8068,"84029.86","3464","5"
27,4261,"65091.66","2934","6"
27,2753,"56233.69","931","7"
27,2757,"55128.44","1856","8"
27,3545,"51893.11","1689","9"
27,4722,"47597.51","1349","10"
28,3405,"39542.59","1313","1"
28,8068,"28572.20","1180","2"
28,3545,"25404.90","810","3"
28,4261,"22607.03","997","4"
28,3102,"20159.53","1147","5"
28,1233,"18261.92","508","6"
28,3505,"16605.33","867","7"
28,6570,"16393.85","1495","8"
28,3658,"16333.22","278","9"
28,3858,"15444.64","636","10"
29,4261,"8442.23","377","1"
29,1233,"7190.02","198","2"
29,8680,"7114.19","181","3"
29,2120,"7013.76","424","4"
29,8068,"6894.16","284","5"
29,3405,"6340.62","210","6"
29,3102,"5795.70","330","7"
29,2585,"4943.90","210","8"
29,8082,"4769.52","148","9"
29,3545,"4682.50","150","10"
30,1233,"47529.83","1317","1"
30,4261,"45608.47","2053","2"
30,3405,"44753.70","1490","3"
30,8068,"38477.69","1581","4"
30,3102,"35553.80","2020","5"
30,3858,"31220.04","1296","6"
30,3545,"29797.45","955","7"
30,3489,"29483.94","1006","8"
30,1376,"28700.31","1269","9"
30,3650,"28412.12","588","10"
31,4261,"62565.73","2827","1"
31,1233,"47279.83","1317","2"
31,3405,"47211.31","1569","3"
31,8068,"40413.93","1657","4"
31,3858,"36412.73","1527","5"
31,126,"33235.75","1125","6"
31,3545,"28282.92","908","7"
31,3650,"27213.38","562","8"
31,4689,"26937.30","570","9"
31,3102,"26856.67","1533","10"
32,42188,"110815.20","2130","1"
32,3858,"70289.69","2981","2"
32,1233,"70207.39","1961","3"
32,126,"64340.04","2196","4"
32,8068,"60702.41","2509","5"
32,3545,"58801.96","1904","6"
32,2589,"49033.54","1246","7"
32,3405,"48746.99","1621","8"
32,3102,"44625.33","2567","9"
32,3798,"40535.74","1626","10"
33,2589,"110152.73","2827","1"
33,3545,"85880.93","2807","2"
33,1233,"85449.98","2402","3"
33,126,"82753.06","2794","4"
33,3858,"79737.60","3390","5"
33,8068,"71298.37","2963","6"
33,3405,"70287.00","2336","7"
33,800,"59590.58","1842","8"
33,4261,"55748.07","2493","9"
33,3650,"48896.88","1012","10"
34,3545,"247785.38","7962","1"
34,3405,"225292.31","7513","2"
34,4261,"221177.76","9924","3"
34,8068,"214735.53","8847","4"
34,1233,"198750.86","5514","5"
34,3858,"163767.16","6834","6"
34,2753,"160640.85","2615","7"
34,3102,"141810.94","8106","8"
34,4689,"132311.30","2770","9"
34,2889,"110154.75","3425","10"
35,4261,"38455.73","1727","1"
35,1233,"35059.31","969","2"
35,1376,"24225.37","1063","3"
35,3405,"22790.03","757","4"
35,8068,"22475.75","925","5"
35,3102,"19547.90","1110","6"
35,3489,"19303.41","659","7"
35,3650,"17221.44","356","8"
35,4243,"16476.48","752","9"
35,2120,"15764.41","959","10"
36,42188,"49939.99","951","1"
36,1233,"29124.85","815","2"
36,3858,"25969.93","1107","3"
36,126,"24919.45","855","4"
36,3545,"22466.71","729","5"
36,4261,"21506.42","958","6"
36,4689,"19693.81","419","7"
36,8068,"17456.78","722","8"
36,811,"16494.13","587","9"
36,2585,"16319.97","703","10"
37,4261,"16011.80","720","1"
37,1233,"10645.05","295","2"
37,8680,"8927.73","227","3"
37,8068,"8904.85","365","4"
37,3489,"8748.99","301","5"
37,1376,"8283.35","365","6"
37,2127,"8277.06","794","7"
37,3545,"7761.52","248","8"
37,2120,"7570.37","463","9"
37,3348,"6945.25","225","10"
38,3405,"204616.50","6810","1"
38,3545,"155393.21","4979","2"
38,8068,"133482.53","5497","3"
38,1233,"129641.09","3591","4"
38,3489,"113644.11","3889","5"
38,6570,"107522.35","9989","6"
38,4261,"107359.93","4807","7"
38,6654,"102731.80","2483","8"
38,1376,"92942.14","4086","9"
38,2663,"92540.51","2949","10"
39,3405,"44461.90","1474","1"
39,6570,"38348.03","3533","2"
39,3545,"37211.08","1192","3"
39,8068,"30774.85","1265","4"
39,4261,"30004.74","1326","5"
39,1233,"25435.94","706","6"
39,3489,"22206.37","763","7"
39,1376,"21382.61","939","8"
39,2663,"20683.38","662","9"
39,3858,"18268.46","754","10"
40,1233,"33455.72","928","1"
40,8068,"31401.60","1290","2"
40,4261,"31384.88","1412","3"
40,1376,"29926.83","1317","4"
40,3405,"19896.51","665","5"
40,3545,"18191.16","584","6"
40,2114,"17564.78","1322","7"
40,3489,"17221.10","590","8"
40,2757,"16240.60","540","9"
40,2127,"15888.78","1522","10"
41,3405,"127984.16","4268","1"
41,4261,"111870.15","4985","2"
41,8068,"105608.41","4359","3"
41,3545,"98145.41","3159","4"
41,1233,"90888.72","2528","5"
41,3102,"66132.13","3787","6"
41,3858,"60631.60","2540","7"
41,5364,"58443.03","1897","8"
41,3650,"52461.10","1090","9"
41,3489,"50552.59","1741","10"
42,3405,"43416.21","1443","1"
42,1233,"38630.31","1069","2"
42,3545,"32301.67","1033","3"
42,8068,"29026.53","1197","4"
42,4261,"25705.49","1151","5"
42,6570,"24080.89","2187","6"
42,3489,"19498.32","668","7"
42,3858,"17119.47","703","8"
42,1376,"16687.66","734","9"
42,2589,"16140.99","401","10"
43,4261,"57683.21","2579","1"
43,3405,"41468.49","1375","2"
43,8068,"34397.30","1420","3"
43,1233,"28226.16","784","4"
43,4243,"25300.24","1176","5"
43,3545,"23642.42","758","6"
43,1376,"23453.72","1028","7"
43,3512,"23173.88","1412","8"
43,3102,"18582.36","1064","9"
43,4260,"18463.52","898","10"
44,3405,"41560.87","1377","1"
44,4261,"31808.93","1407","2"
44,3545,"28021.03","897","3"
44,8068,"27505.13","1137","4"
44,1233,"26149.72","728","5"
44,6570,"24115.40","2244","6"
44,3489,"17080.12","588","7"
44,2589,"15593.12","388","8"
44,3802,"15000.14","786","9"
44,1376,"14605.56","644","10"
45,4261,"26133.37","1163","1"
45,1233,"20416.34","566","2"
45,1376,"19976.23","877","3"
45,8068,"17759.68","732","4"
45,3405,"16553.98","550","5"
45,2114,"15057.59","1141","6"
45,3102,"13803.15","785","7"
45,5364,"13793.54","446","8"
45,3512,"13647.70","830","9"
45,4243,"12866.08","592","10"
46,3545,"8576.21","279","1"
46,3650,"7983.32","168","2"
46,4261,"7631.61","339","3"
46,2663,"7397.71","229","4"
46,3405,"7245.79","241","5"
46,6570,"7235.51","641","6"
46,1233,"6993.04","196","7"
46,3802,"6258.61","339","8"
46,8680,"6166.46","154","9"
46,2757,"6107.99","201","10"
47,3405,"31529.54","1054","1"
47,3545,"30119.33","967","2"
47,6570,"27383.52","2476","3"
47,1233,"22854.65","635","4"
47,3650,"22681.31","469","5"
47,3505,"20515.35","1065","6"
47,2585,"18342.23","777","7"
47,8068,"17257.93","707","8"
47,4261,"16406.64","736","9"
47,3858,"14902.87","613","10"
48,1233,"163616.07","4593","1"
48,8068,"109200.61","4539","2"
48,2589,"82142.32","2068","3"
48,3545,"77545.80","2520","4"
48,3858,"76118.66","3234","5"
48,4261,"69165.98","3102","6"
48,3102,"67636.15","3885","7"
48,3405,"56106.69","1871","8"
48,42188,"52828.93","1007","9"
48,1376,"47016.18","2082","10"
49,4261,"98051.89","4411","1"
49,8068,"93507.02","3848","2"
49,3405,"91662.99","3045","3"
49,3545,"81964.62","2638","4"
49,1233,"76966.51","2149","5"
49,3858,"63104.72","2628","6"
49,3102,"62543.16","3584","7"
49,5364,"47110.78","1522","8"
49,2663,"45785.52","1448","9"
49,2585,"44311.19","1881","10"
50,1233,"312513.46","8754","1"
50,8068,"231762.20","9630","2"
50,3545,"186007.01","5999","3"
50,3858,"171991.15","7285","4"
50,4689,"164093.55","3445","5"
50,3405,"147075.76","4904","6"
50,782,"143568.87","3013","7"
50,2753,"141858.75","2325","8"
50,4261,"141297.04","6396","9"
50,2589,"137060.18","3482","10"
51,4261,"71988.79","3221","1"
51,8068,"56321.90","2310","2"
51,3405,"55040.00","1828","3"
51,1233,"51700.65","1435","4"
51,3545,"47194.84","1516","5"
51,3102,"29289.35","1665","6"
51,4243,"28027.01","1299","7"
51,3858,"26170.10","1090","8"
51,6570,"25942.41","2387","9"
51,5364,"24454.08","792","10"
52,7878,"31259.14","2086","1"
52,4261,"27216.83","1217","2"
52,2127,"20361.47","1953","3"
52,8068,"19268.07","793","4"
52,1376,"17246.46","754","5"
52,3489,"17076.16","584","6"
52,3405,"16949.08","564","7"
52,2120,"14574.14","886","8"
52,1233,"14361.02","398","9"
52,8680,"14155.41","359","10"
53,4261,"73324.00","3300","1"
53,1233,"66292.55","1845","2"
53,8068,"60098.31","2469","3"
53,3102,"48734.36","2764","4"
53,3405,"45375.55","1513","5"
53,3545,"44655.70","1430","6"
53,2753,"38745.64","636","7"
53,4260,"35430.78","1722","8"
53,4689,"35179.63","737","9"
53,4227,"33616.83","1917","10"
54,3405,"51004.85","1699","1"
54,6570,"45190.10","4122","2"
54,8068,"35059.09","1441","3"
54,3545,"34801.73","1127","4"
54,1233,"30696.46","854","5"
54,2585,"23547.02","998","6"
54,3489,"22716.24","776","7"
54,4261,"22281.08","992","8"
54,3650,"21469.56","444","9"
54,8082,"18636.19","581","10"
55,3858,"133033.78","5622","1"
55,1233,"112033.59","3141","2"
55,2589,"100947.19","2581","3"
55,3405,"100719.11","3341","4"
55,3545,"99063.04","3196","5"
55,8068,"92413.20","3830","6"
55,126,"78473.40","2660","7"
55,4261,"70132.69","3131","8"
55,42188,"67429.92","1308","9"
55,3489,"55240.01","1899","10"
56,3405,"81774.15","2709","1"
56,8068,"55571.64","2286","2"
56,3545,"50053.95","1605","3"
56,4261,"47214.93","2107","4"
56,1233,"44755.60","1240","5"
56,6570,"44199.00","4080","6"
56,3040,"42487.39","1761","7"
56,3650,"35398.59","741","8"
56,497,"28465.76","1424","9"
56,811,"27562.69","931","10"
57,8068,"39398.25","1625","1"
57,4261,"37332.41","1659","2"
57,3405,"33751.03","1121","3"
57,1233,"27300.45","755","4"
57,3545,"22453.82","718","5"
57,1376,"20642.98","902","6"
57,4243,"19690.78","922","7"
57,5364,"17316.38","562","8"
57,3489,"17186.10","590","9"
57,8159,"15594.10","590","10"
58,4261,"61845.30","2770","1"
58,1233,"55040.80","1520","2"
58,3405,"46732.06","1554","3"
58,2585,"44375.45","1855","4"
58,3545,"40122.11","1289","5"
58,8068,"37227.18","1532","6"
58,3858,"30957.71","1279","7"
58,4243,"28990.74","1326","8"
58,3802,"27840.29","1471","9"
58,3102,"25514.40","1460","10"
59,3858,"99869.35","4215","1"
59,42188,"91275.70","1730","2"
59,1233,"80320.46","2254","3"
59,8068,"69890.57","2893","4"
59,3545,"60232.61","1939","5"
59,4261,"58709.65","2635","6"
59,2589,"56813.48","1452","7"
59,3405,"56763.68","1884","8"
59,126,"53790.55","1845","9"
59,3798,"43467.52","1748","10"
60,1233,"158249.21","4379","1"
60,8068,"114408.47","4703","2"
60,3545,"111675.12","3588","3"
60,3405,"109900.19","3661","4"
60,4261,"109461.81","4919","5"
60,3489,"109381.56","3744","6"
60,1376,"98570.05","4295","7"
60,3102,"78482.49","4451","8"
60,6570,"66858.35","6185","9"
60,2663,"64309.52","2048","10"
61,2589,"138953.03","3597","1"
61,1233,"135400.82","3818","2"
61,3858,"115667.76","4924","3"
61,42188,"106180.16","2034","4"
61,8068,"102795.97","4253","5"
61,3545,"77058.94","2506","6"
61,4261,"72644.69","3231","7"
61,8082,"62567.64","2036","8"
61,3102,"53313.08","3092","9"
61,126,"49499.26","1674","10"
62,4261,"54619.78","2422","1"
62,1233,"43092.10","1190","2"
62,8068,"41375.99","1701","3"
62,4243,"27991.07","1293","4"
62,3405,"26609.17","883","5"
62,3858,"26470.63","1087","6"
62,5364,"24050.23","777","7"
62,1376,"23131.85","1015","8"
62,3545,"21449.15","685","9"
62,3512,"21001.24","1276","10"
63,42188,"47325.02","898","1"
63,8068,"32929.39","1361","2"
63,1233,"32364.97","903","3"
63,4261,"30871.13","1387","4"
63,1376,"30395.62","1338","5"
63,580,"25196.40","360","6"
63,3405,"23030.70","766","7"
63,2114,"21705.54","1646","8"
63,3545,"21093.20","680","9"
63,3858,"20881.18","882","10"
64,6570,"55989.82","5150","1"
64,3405,"55419.40","1836","2"
64,3545,"45717.32","1468","3"
64,3489,"38200.92","1308","4"
64,8068,"31290.14","1286","5"
64,1233,"30317.60","840","6"
64,2663,"28570.94","906","7"
64,4261,"24835.92","1108","8"
64,1376,"24533.24","1076","9"
64,3348,"21976.94","706","10"
65,3405,"26427.39","877","1"
65,6570,"21946.29","1987","2"
65,1233,"19360.63","537","3"
65,3545,"16908.56","544","4"
65,3102,"15663.08","892","5"
65,8068,"14488.54","596","6"
65,4261,"13522.97","603","7"
65,3505,"12119.73","627","8"
65,36378,"11943.38","1142","9"
65,3650,"10759.78","222","10"
66,3405,"225629.36","7512","1"
66,3545,"148374.58","4742","2"
66,1233,"119643.04","3296","3"
66,4261,"115098.75","5125","4"
66,8068,"102724.86","4214","5"
66,3489,"96173.03","3297","6"
66,6654,"84929.91","2049","7"
66,3858,"71955.72","2978","8"
66,8082,"68544.88","2112","9"
66,3348,"67429.16","2184","10"
67,3405,"132647.71","4421","1"
67,3545,"129794.35","4165","2"
67,1233,"92562.20","2580","3"
67,6654,"87679.00","2123","4"
67,3489,"80623.39","2761","5"
67,8068,"79581.77","3273","6"
67,4261,"75667.34","3366","7"
67,3858,"71262.14","2986","8"
67,3348,"61597.71","1979","9"
67,8082,"60407.14","1886","10"
68,3405,"128910.68","4248","1"
68,3545,"69657.65","2235","2"
68,1233,"68750.87","1913","3"
68,8068,"68449.84","2816","4"
68,6570,"63674.99","5797","5"
68,3650,"50152.59","1041","6"
68,4261,"48362.57","2143","7"
68,2589,"42307.57","1043","8"
68,3858,"42009.73","1727","9"
68,6654,"41950.27","1021","10"
69,1233,"187236.56","5244","1"
69,2753,"152485.05","2495","2"
69,3858,"147105.47","6203","3"
69,8068,"129601.19","5381","4"
69,3545,"126936.87","4113","5"
69,3405,"107056.63","3545","6"
69,2585,"100465.12","4288","7"
69,4261,"96432.67","4333","8"
69,42188,"85142.21","1679","9"
69,8082,"82497.38","2662","10"
70,1233,"44713.48","1252","1"
70,2589,"34613.37","863","2"
70,8068,"26931.34","1116","3"
70,3858,"26005.46","1104","4"
70,4261,"24320.04","1096","5"
70,3545,"22036.90","710","6"
70,2663,"18504.07","593","7"
70,2585,"17884.34","766","8"
70,2753,"16665.23","277","9"
70,8159,"16577.70","630","10"
71,4261,"75785.07","3393","1"
71,3405,"54680.52","1820","2"
71,1233,"51394.75","1425","3"
71,8068,"50544.77","2073","4"
71,3545,"44445.82","1418","5"
71,3489,"36282.55","1245","6"
71,3102,"36068.41","2059","7"
71,1376,"32089.02","1398","8"
71,2585,"26976.56","1144","9"
71,2589,"26281.46","654","10"
72,4261,"57223.44","2556","1"
72,1233,"50464.08","1392","2"
72,3405,"48069.27","1593","3"
72,8068,"37042.32","1518","4"
72,3545,"34052.11","1089","5"
72,3858,"32097.37","1313","6"
72,1376,"29719.01","1299","7"
72,2589,"28392.98","702","8"
72,3489,"27018.78","922","9"
72,3650,"26004.61","539","10"
73,3545,"222438.82","7118","1"
73,3405,"206165.27","6861","2"
73,1233,"197833.18","5482","3"
73,8068,"164238.33","6767","4"
73,3102,"156516.38","9062","5"
73,3489,"145093.16","4984","6"
73,4261,"120821.28","5372","7"
73,3348,"111939.90","3610","8"
73,2589,"111302.50","2750","9"
73,8082,"106447.86","3314","10"
74,1233,"141348.34","3966","1"
74,3858,"136342.47","5803","2"
74,8068,"117887.18","4882","3"
74,2589,"115282.42","2958","4"
74,3545,"98811.16","3184","5"
74,4261,"97200.22","4378","6"
74,3405,"90385.46","3022","7"
74,2663,"88230.95","2905","8"
74,126,"87355.56","2944","9"
74,3102,"69145.27","3973","10"
75,1233,"60420.29","1671","1"
75,4261,"59366.49","2651","2"
75,3405,"57026.84","1892","3"
75,8068,"45037.55","1845","4"
75,3545,"27502.16","884","5"
75,1376,"25574.80","1120","6"
75,4243,"25004.45","1155","7"
75,5364,"23988.26","774","8"
75,3489,"23327.02","798","9"
75,3102,"23039.89","1311","10"
76,3405,"301623.40","10008","1"
76,3545,"238119.79","7621","2"
76,8068,"200591.70","8280","3"
76,1233,"198813.71","5529","4"
76,4261,"157564.05","6995","5"
76,3489,"153314.47","5253","6"
76,6570,"135198.72","12552","7"
76,6654,"131772.93","3200","8"
76,3102,"130111.07","7493","9"
76,3348,"120659.20","3930","10"
77,4261,"59116.30","2670","1"
77,1233,"56717.27","1573","2"
77,8068,"51721.68","2132","3"
77,3545,"37344.98","1202","4"
77,1376,"31829.93","1407","5"
77,3405,"30977.90","1034","6"
77,3102,"28561.71","1629","7"
77,5364,"28064.92","908","8"
77,3489,"25046.43","857","9"
77,2663,"24432.05","795","10"
78,3405,"56830.06","1890","1"
78,4261,"48549.30","2170","2"
78,8068,"35955.71","1479","3"
78,3858,"35459.49","1451","4"
78,1233,"34862.33","967","5"
78,3545,"31082.03","997","6"
78,3102,"24789.91","1409","7"
78,3505,"23955.51","1249","8"
78,4243,"23517.15","1085","9"
78,2585,"21031.09","891","10"
79,3405,"61206.25","2035","1"
79,3545,"50288.89","1611","2"
79,4261,"49760.89","2211","3"
79,8068,"47513.44","1956","4"
79,3858,"45069.51","1899","5"
79,1233,"43713.96","1204","6"
79,3650,"28477.08","592","7"
79,1376,"26118.52","1148","8"
79,3489,"25307.33","867","9"
79,3102,"24340.18","1382","10"
81,4261,"12178.44","556","1"
81,1233,"11739.79","321","2"
81,3405,"8973.00","300","3"
81,3826,"6901.60","340","4"
81,4243,"6568.81","319","5"
81,8680,"6374.34","166","6"
81,1376,"6343.10","290","7"
81,3545,"6234.99","201","8"
81,8068,"6006.02","248","9"
81,3512,"5121.84","316","10"
